Individual	Family	Age	Start	Start_lat	End	End_lat	Weight	Instar	Instar_edit																										
NS 1.1	1	11	N	U	S	S	15.355	i	i																										
NS 1.1	1	12	N	U	S	S	22.422	i	i																										
NS 1.1	1	13	N	U	S	S	29.524	i	i																										
NS 1.1	1	14	N	U	S	S	NA	i	i																										
NS 1.1	1	15	N	U	S	S	92	i	i																										
NS 1.1	1	16	N	U	S	S	99.793	i	i																										
NS 1.1	1	17	N	U	S	S	90.4	5	i5																										
NS 1.1	1	18	N	U	S	S	141.066	5	as																										
NS 1.1	1	19	N	U	S	S	195.802	5	as																										
NS 1.1	1	20	N	U	S	S	300.379	5	as																										
NS 1.1	1	21	N	U	S	S	NA	5	as																										
NS 1.1	1	22	N	U	S	S	402	5	as																										
NS 1.1	1	23	N	U	S	S	NA	5	as																										
NS 1.1	1	24	N	U	S	S	NA	5	as																										
NS 1.1	1	P	N	U	S	S	282	P	P																										
NS 2.1	2	1	N	U	S	S	0.251	i	i																										
NS 2.1	2	2	N	U	S	S	0.321	i	i																										
NS 2.1	2	3	N	U	S	S	0.744	i	i																										
NS 2.1	2	4	N	U	S	S	1.027	i	i																										
NS 2.1	2	5	N	U	S	S	NA	i	i																										
NS 2.1	2	6	N	U	S	S	1.299	i	i																										
NS 2.1	2	7	N	U	S	S	3.148	i	i																										
NS 2.1	2	8	N	U	S	S	5.087	i	i																										
NS 2.1	2	9	N	U	S	S	4.77	i	i																										
NS 2.1	2	10	N	U	S	S	6.213	i	i																										
NS 2.1	2	11	N	U	S	S	13.131	i	i																										
